Wall time,Step,Value
1611160549.8645563,43,0.6792345643043518
1611160551.6506083,46,0.691005527973175
1611160580.8912923,95,0.43383288383483887
1611160624.0992835,168,0.4481893479824066
1611160661.2605808,230,0.6022844314575195
1611160664.2201507,235,0.510867178440094
1611160676.6920083,256,0.46234238147735596
1611160687.3766248,274,0.4393267035484314
1611160708.9130857,309,0.45092642307281494
1611160710.1114116,311,0.4712446928024292
1611160714.8563757,319,0.6382564306259155
1611160808.5574956,475,0.5975110530853271
1611160845.83493,537,0.5932457447052002
1611160871.6754322,580,0.6786874532699585
1611160875.9256487,587,0.5855562090873718
1611160904.9155955,635,0.43928271532058716
1611160912.6599703,648,0.4136993885040283
1611160951.9615707,715,0.6224511861801147
1611160956.6772823,723,0.5153448581695557
1611161003.5200462,803,0.5331729650497437
1611161007.0258038,809,0.4961422085762024
1611161023.476367,837,0.5290661454200745
1611161103.545269,972,0.5575777888298035
1611161129.1027808,1015,0.6188372373580933
1611161160.0885665,1067,0.4466504454612732
1611161182.5907195,1105,0.5405354499816895
1611161227.6513438,1181,0.6170718669891357
1611161275.61676,1262,0.45705968141555786
1611161308.0777712,1317,0.5162104368209839
1611161309.8528576,1320,0.5622372627258301
1611161318.1383367,1334,0.5680192708969116
1611161320.4980774,1338,0.5230793952941895
1611161348.793261,1386,0.5460303425788879
1611161352.9249172,1393,0.4409978687763214
1611161378.926095,1437,0.5825357437133789
1611161396.7379627,1467,0.5744229555130005
1611161447.4365654,1553,0.47739267349243164
1611161466.3124688,1585,0.6257215738296509
1611161529.3273592,1692,0.5230969190597534
1611161554.6457129,1735,0.44586312770843506
1611161556.3925283,1738,0.4880867898464203
1611161618.9347196,1845,0.5011969804763794
1611161638.4092076,1878,0.5168404579162598
1611161661.6298285,1918,0.49521127343177795
1611161679.266383,1948,0.6407259106636047
1611161731.7075546,2037,0.3606434464454651
1611161767.1114433,2097,0.44496726989746094
1611161827.890722,2200,0.5917730331420898
1611161865.030001,2263,0.5297500491142273
1611161891.5876327,2308,0.4735514223575592
1611161940.4405584,2390,0.4623378813266754
1611161968.5367422,2437,0.4332594871520996
1611161978.5740798,2454,0.5671989917755127
1611161979.7573102,2456,0.39218050241470337
1611161982.7157192,2461,0.599185585975647
1611161997.5420833,2486,0.5582057237625122
1611161998.1312482,2487,0.5195777416229248
1611162005.289545,2499,0.5477295517921448
1611162008.302066,2504,0.511589527130127
1611162025.6638308,2533,0.45530760288238525
1611162116.629494,2686,0.5513572096824646
1611162149.1444445,2741,0.4944968819618225
1611162283.3775375,2968,0.4609708786010742
1611162325.2441597,3039,0.48333069682121277
1611162327.0152278,3042,0.44815999269485474
1611162397.8270438,3162,0.5356926918029785
1611162438.753828,3231,0.5037187933921814
1611162448.206545,3247,0.5398129224777222
1611162448.7954917,3248,0.528002142906189
1611162483.1649795,3306,0.4524458944797516
1611162586.4453876,3481,0.37512820959091187
1611162667.9477828,3619,0.5648905634880066
1611162669.1123788,3621,0.5323899984359741
1611162698.505953,3671,0.5345571637153625
1611162740.546492,3742,0.5650641322135925
1611162783.8030608,3815,0.4285055994987488
1611162787.9659653,3822,0.3819687068462372
1611162851.433593,3929,0.50185227394104
1611162868.1562383,3957,0.4863855242729187
1611162915.840274,4037,0.433686763048172
1611162952.4303741,4099,0.502840518951416
1611163010.5663557,4197,0.5560198426246643
1611163032.0425832,4233,0.6143368482589722
1611163082.3507288,4318,0.5591715574264526
1611163131.5491838,4401,0.6562443971633911
1611163186.1576848,4493,0.49904173612594604
1611163196.216327,4510,0.5673438310623169
1611163288.8984754,4665,0.5494633316993713
1611163291.2840488,4669,0.506411075592041
1611163296.0653756,4677,0.5565754771232605
1611163362.9221392,4789,0.5207107663154602
1611163371.2656639,4803,0.5655196905136108
1611163393.9813683,4841,0.49720680713653564
1611163425.9294477,4895,0.5204744935035706
1611163471.8587346,4972,0.5420408844947815
1611163552.101548,5107,0.4560108780860901
1611163568.7898636,5135,0.4948704242706299
1611163694.4859726,5346,0.4720795154571533
1611163702.8224595,5360,0.48761457204818726
1611163739.1484923,5421,0.5566325187683105
1611163815.978453,5550,0.4504285454750061
1611163893.0787928,5680,0.6726438999176025
1611163919.0762174,5724,0.5746870636940002
1611163968.862434,5809,0.40034377574920654
1611164001.8501596,5865,0.5163626074790955
1611164006.0147164,5872,0.49596863985061646
1611164027.5537155,5908,0.43589475750923157
1611164076.812297,5991,0.6287385821342468
1611164201.5312986,6201,0.5578237175941467
1611164212.8660388,6220,0.47602349519729614
1611164254.524667,6290,0.60036301612854
